,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
12,2202,,Alubakke 584 ml 186x135x30 mm,Alubakke 542 ml 153x153x34 mm,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/2202.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7383.jpg,,,,,,,12 pk x 100 stk/krt,9 pk x 100 stk/krt,5701022000041,5410555070376,Der er ikke låg til denne bakke.,Låg: 7384-1,12,9,,,,,sølv,,86,0.72,,,,,,,370,2,,,61.85,6215,,,,,735210800,835710799,229584.29528099997,68121.82981699999,,,,,,,123.75,12430,15,,145.5,13811,,E140080,E100010 - Deaktiveret,E140080 - Deaktiveret
13,7383,,Alubakke 542 ml 153x153x34 mm,Alubakke 350 ml Ø127 Rund 350/04,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/7383.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7818.jpg,,,,,,,9 pk x 100 stk/krt,12 pk x 100 stk/krt,5410555070376,5701022133114,Låg: 7384-1,ø80 i bundenHøjde 45 mm,9,12,,,,,,sølv,72,0.54,,,,,,,2,83,,,62.15,6230,,,,,835710799,403500,68121.82981699999,31840.26345800001,,,,,,,124.25,12460,15,,146.25,13844.5,,E140090,E100010 - Deaktiveret,E140090 - Deaktiveret
14,7818,,Alubakke 350 ml Ø127 Rund 350/04,Alubakke 510ml L150xB110xH46mm,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/7818.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/127404.jpg,,,,,100 stk/pk,120 stk/pk,12 pk x 100 stk/krt,12 pk x 120 stk/krt,5701022133114,5701022215728,ø80 i bundenHøjde 45 mm,Låg= vnr7912,,,,,,,sølv,,54,0.755,,,,,,,83,110,,,62.3,6904,,,,,403500,7305010200,31840.26345800001,211983.8930920004,,,,,,,124.5,13808,15,,146.5,15342.25,,E140110,E100010 - Deaktiveret,E140110 - Deaktiveret
15,127404,,Alubakke 510ml L150xB110xH46mm,Alubakke 610 ml 204x92x49 mm,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/127404.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7323-1.jpg,,,,,120 stk/pk,100 stk/pk,12 pk x 120 stk/krt,12 pk x 100 stk/krt,5701022215728,5701022208461,Låg= vnr7912,,,,,,,,,,755,0.9,B,C,,,,,110,38,,,69.04,8144,,204x92x49 mm,,,7305010200,736710200,211983.8930920004,35152.292982000006,,,,,,,138,16288,15,,162.25,18097.75,,E140120,E100010 - Deaktiveret,E140120 - Deaktiveret
16,7323-1,,Alubakke 610 ml 204x92x49 mm,Alubakke 890 ml 207x141x41 mm rektangulær kraftig kvalitet,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/7323-1.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/123155.jpg,,,,,,,12 pk x 100 stk/krt,10 pk x 100 stk/krt,5701022208461,5701022172014,,"JHOL: samme vare som tidligere lå på 7485. Låg= vnr 7486, Plastlåg = 7487-1 (G)",12,10,,,,,,,9,1.24,C,B,,,,,38,66,,,81.44,9325,204x92x49 mm,,,,736710200,838908902,35152.292982000006,126435.72520399986,,,,,,,163,18650,15,,191.75,20722.25,,E140130,E100010 - Deaktiveret,E140130 - Deaktiveret
17,123155,,Alubakke 890 ml 207x141x41 mm rektangulær kraftig kvalitet,Alubakke 410 ml Ø203 mm Rund,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/123155.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7301.jpg,,,,,,,10 pk x 100 stk/krt,4 pk x 100 stk/krt,5701022172014,5701022000546,"JHOL: samme vare som tidligere lå på 7485. Låg= vnr 7486, Plastlåg = 7487-1 (G)","bund 15 cmHøjde 20 mmIntet låg - men låg  kan bestilles på bunzl div. 12130-3  varenr. 151050, 6cm hø, j  til alubakke 51050",10,4,,,,,,sølv,124,0.86,B,C,,,,,66,62,,,93.25,9533,,,,,838908902,5105008900,126435.72520399986,80348.318462,,,,,,,186.5,19066,15,,219.5,21184.5,,E140140,E100010 - Deaktiveret,E140140 - Deaktiveret
18,7301,,Alubakke 410 ml Ø203 mm Rund,Plastbakke SquarePac 1000 ml 192x190x54 mm Hængslet låg APET Klar,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/7301.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/38540.jpg,,,,,100 stk/pk,75 stk/pk,4 pk x 100 stk/krt,4 pk x 75 stk/krt,5701022000546,5701022175336,"bund 15 cmHøjde 20 mmIntet låg - men låg  kan bestilles på bunzl div. 12130-3  varenr. 151050, 6cm hø, j  til alubakke 51050",,,,HOTFOOD,COLDFOOD,FOILCONT,DELISALAD,sølv,Klar,86,3.26,,,,,,,62,15,,,95.33,10441,,,,,5105008900,7710040000,80348.318462,29165.587473,,,,,,,190.75,20882,15,,224.5,23202.25,,E140150,E100010 - Deaktiveret,E140150 - Deaktiveret
19,38540,,Plastbakke SquarePac 1000 ml 192x190x54 mm Hængslet låg APET Klar,Alubakke 800 ml Ø181 mm Rund,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/38540.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7391.jpg,,,pk,ps,75 stk/pk,100 stk/ps,4 pk x 75 stk/krt,6 ps x 100 stk/krt,5701022175336,8007626235405,,Højde 43 mm,4,6,COLDFOOD,HOTFOOD,DELISALAD,FOILCONT,Klar,sølv,326,0.9,,,,,,,15,29,,,104.41,10776,,,,,7710040000,318010799,29165.587473,29515.161411999987,,,,,,,208.75,21552,15,,245.5,23946.75,,E140160,E100010 - Deaktiveret,E140160 - Deaktiveret
20,7391,,Alubakke 800 ml Ø181 mm Rund,Låg Ready2Cook 271x168x27 mm Lavt APET Klar,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/7391.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/38267-2.jpg,,,,,,,6 ps x 100 stk/krt,4 ps x 100 stk/krt,8007626235405,5701022215742,Højde 43 mm,,6,4,,,,,sølv,Klar,9,1.85,C,B,,A02,,Egnet til Fødevarekontakt,29,54,,,107.76,10868,,271x168x27 mm,,,318010799,5022200203,29515.161411999987,107883.28079200003,,,,,,,215.5,21736,15,,253.5,24151,,E140170,E100010 - Deaktiveret,E140170 - Deaktiveret
21,38267-2,,Låg Ready2Cook 271x168x27 mm Lavt APET Klar,Alubakke 685 ml 326x106x25 mm,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/38267-2.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7331.jpg,,,ps,pk,100 stk/ps,125 stk/pk,4 ps x 100 stk/krt,5 pk x 125 stk/krt,5701022215742,5701022000799,,,4,5,,,,,Klar,sølv,185,1.26,B,C,A02,,Glas & Gaffel,,54,59,,,108.68,12922,271x168x27 mm,,,,5022200203,737007900,107883.28079200003,145845.14196,,,,,,,217.25,25844,15,,255.5,28715.5,,E140190,E100010 - Deaktiveret,E140190 - Deaktiveret
