ORIGINAL_PROD_NAME;ImageURL;SalesUnitID;StockUnitID;PackingInfoInStockUnit;SalesUnit.PackingInfo;PROD_BARCODE_NUMBER;PROD_NOTES;UnitConvStockPurch;BunzlItemMainGroup;BunzlItemSubGroup;Color;PROD_WEIGHT;ItemABC;Code;Certifications;STOCK_COUNT;FIELD_18;PROD_COST_PRICE;FIELD_20;PrimaryVendorName;PrimaryVendorItemID;ItemNetSales;DataAreaID;BrandID;LeverandørLink;Column1;_1;_2;_3;_4;Flerstk. pris;Retail_Price;FIELD_17;VENDOR_NUM;PROD_NUM_old;PROD_NUM;FIELD_1;PROD_UNIT_ID;MANUFAC_ID;FIELD_2;LANGUAGE_ID;CURRENCY_CODE;PROD_SORT;PROD_MIN_BUY;PROD_HIDDEN;PROD_FRONT_PAGE;OMIT_FROM_FREE_SHIPPING_LIMIT;PROD_VAR_MASTER;PROD_SHOW_ON_GOOGLE_FEED;PROD_SHOW_ON_FACEBOOK_FEED;PROD_SHOW_ON_PRICERUNNER_FEED;PROD_SHOW_ON_KELKOO_FEED;PROD_SITE_SPECIFIC_SORTING;PROD_MAX_BUY;PROD_MIN_BUY_B2B;PROD_BACKORDER_AVAILABILITY_DAYS;STOCK_LIMIT;PROD_NEW;TOPLIST_HIDDEN;PROD_DELIVERY;PROD_DELIVERY_NOT_IN_STOCK;PROD_PREORDER;PROD_BACKORDER;PROD_TYPE_ID;CAT_NAME;CAT_ID;PROD_NAME
Alubakke 550 ml 188x88x50 mm;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7389-1.jpg;krt;ps;100 stk/ps;15 ps x 100 stk/krt;5701022000904;;15;HOTFOOD;FOILCONT;sølv;0,78;B;;;67;;6081;;Plus Pack A/S;0765510600;90530.26738900004;mln;;https://www.pluspack.com/products/category/all-products;;;;;;12162;13513,25;100 stk/ps;ML7389-1;E140060;E140060 - Deaktiveret;1 ps (á 100 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;Firkantede alubakker;1130101000000;Alubakke 550 ml 188x88x50 mm
Alubakke 584 ml 186x135x30 mm;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/2202.jpg;krt;pk;100 stk/pk;12 pk x 100 stk/krt;5701022000041;Der er ikke låg til denne bakke.;12;HOTFOOD;FOILCONT;sølv;0,86;B;;;370;;6185;;Plus Pack A/S;0735210800;229584.29528099994;mln;;https://www.pluspack.com/products/category/all-products;;;;;;12370;13744,5;100 stk/pk;ML2202;E140070;E140070 - Deaktiveret;1 pk (á 100 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;Kageæsker;1120201000000;Alubakke 584 ml 186x135x30 mm
Alubakke 542 ml 153x153x34 mm;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7383.jpg;krt;pk;100 stk/pk;9 pk x 100 stk/krt;5410555070376;Låg: 7384-1;9;HOTFOOD;FOILCONT;;0,72;B;;;2;;6215;;Plus Pack A/S;0835710799;68121.82981699999;mln;;https://www.pluspack.com/products/category/all-products;;;;;;12430;13811;100 stk/pk;ML7383;E140080;E140080 - Deaktiveret;1 pk (á 100 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;Runde alubakker;1130102000000;Alubakke 542 ml 153x153x34 mm
Alubakke 350 ml Ø127 Rund 350/04;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7818.jpg;krt;pk;100 stk/pk;12 pk x 100 stk/krt;5701022133114;ø80 i bundenHøjde 45 mm;12;HOTFOOD;FOILCONT;sølv;0,54;B;;;83;;6230;;Plus Pack A/S;403500;31840.263458000012;mln;;https://www.pluspack.com/products/category/all-products;;;;;;12460;13844,5;100 stk/pk;ML7818;E140090;E140090 - Deaktiveret;1 pk (á 100 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;Runde alubakker;1130102000000;Alubakke 350 ml Ø127 Rund 350/04
Alubakke 510ml L150xB110xH46mm;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/127404.jpg;krt;pk;120 stk/pk;12 pk x 120 stk/krt;5701022215728;Låg= vnr7912;12;HOTFOOD;FOILCONT;;0,755;B;;;110;;6904;;Plus Pack A/S;7305010200;211983.8930920004;mln;;https://www.pluspack.com/products/category/all-products;;;;;;13808;15342,25;120 stk/pk;ML127404;E140110;E140110 - Deaktiveret;1 pk (á 120 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;;;Alubakke 510ml L150xB110xH46mm
Alubakke 610 ml 204x92x49 mm;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7323-1.jpg;krt;pk;100 stk/pk;12 pk x 100 stk/krt;5701022208461;;12;HOTFOOD;FOILCONT;;0,9;C;;;38;;8144;204x92x49 mm;Plus Pack A/S;0736710200;35152.292982000006;mln;;https://www.pluspack.com/products/category/all-products;;;;;;16288;18097,75;100 stk/pk;ML7323-1;E140120;E140120 - Deaktiveret;1 pk (á 100 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;;;Alubakke 610 ml 204x92x49 mm
Alubakke 890 ml 207x141x41 mm rektangulær kraftig kvalitet;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/123155.jpg;krt;pk;100 stk/pk;10 pk x 100 stk/krt;5701022172014;JHOL: samme vare som tidligere lå på 7485. Låg= vnr 7486, Plastlåg = 7487-1 (G);10;HOTFOOD;FOILCONT;;1,24;B;;;66;;9325;;Plus Pack A/S;0838908902;126435.72520399986;mln;;https://www.pluspack.com/products/category/all-products;;;;;;18650;20722,25;100 stk/pk;ML123155;E140130;E140130 - Deaktiveret;1 pk (á 100 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;Firkantede alubakker;1130101000000;Alubakke 890 ml 207x141x41 mm rektangulær kraftig kvalitet
Alubakke 410 ml Ø203 mm Rund;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7301.jpg;krt;pk;100 stk/pk;4 pk x 100 stk/krt;5701022000546;bund 15 cmHøjde 20 mmIntet låg - men låg  kan bestilles på bunzl div. 12130-3  varenr. 151050, 6cm hø, j  til alubakke 51050;4;HOTFOOD;FOILCONT;sølv;0,86;C;;;62;;9533;;Plus Pack A/S;5105008900;80348.318462;mln;;https://www.pluspack.com/products/category/all-products;;;;;;19066;21184,5;100 stk/pk;ML7301;E140140;E140140 - Deaktiveret;1 pk (á 100 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;Firkantede alubakker;1130101000000;Alubakke 410 ml Ø203 mm Rund
Plastbakke SquarePac 1000 ml 192x190x54 mm Hængslet låg APET Klar;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/38540.jpg;krt;pk;75 stk/pk;4 pk x 75 stk/krt;5701022175336;;4;COLDFOOD;DELISALAD;Klar;3,26;C;;;15;;10441;;Plus Pack A/S;7710040000;29165.587473;mln;;https://www.pluspack.com/products/category/all-products;;;;;;20882;23202,25;75 stk/pk;ML38540;E140150;E140150 - Deaktiveret;1 pk (á 75 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;Salatbakker;1120106000000;Plastbakke SquarePac 1000 ml 192x190x54 mm Hængslet låg APET Klar
Alubakke 800 ml Ø181 mm Rund;https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7391.jpg;krt;ps;100 stk/ps;6 ps x 100 stk/krt;8007626235405;Højde 43 mm;6;HOTFOOD;FOILCONT;sølv;0,9;C;;;29;;10776;;Plus Pack A/S;0318010799;29515.161411999987;mln;;https://www.pluspack.com/products/category/all-products;;;;;;21552;23946,75;100 stk/ps;ML7391;E140160;E140160 - Deaktiveret;1 ps (á 100 stk);6;;;26;DKK;50;1;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;0;0;0;0;0;FALSE;FALSE;1-3;5-25;FALSE;FALSE;90;Runde alubakker;1130102000000;Alubakke 800 ml Ø181 mm Rund
